Carrier,Plan Name & Deductible,EE Only,EE + Spouse,EE + Child,EE + Family,Office Visit,Specialist,Inpatient,Outpatient,Urgent Care,Deductible,Max OOP,Coinsurance,Prescriptions
CEBT,Medical (PPO4) ($1500 deductible) ,$965 ,"$1,931 ","$1,645 ","$2,483 ",$40 ,$40 ,Ded + 20%,Ded + 20%,$75 ,$1500/$3000,$4000/$8000,20%,$20/$40/$60
CEBT,Medical (PPO7) ($4000 deductible) ,$811 ,"$1,621 ","$1,380 ","$2,084 ",$55 ,$55 ,Ded + 20%,Ded + 20%,$75 ,$4000/$8000,$5000/$10000,20%,$20/$40/$60
CEBT,Medical (PPO9) ($6000 deductible) ,$740 ,"$1,479 ","$1,259 ","$1,901 ",$65 ,$65 ,Ded + 0%,Ded + 0%,$75 ,$6000/$12000,$6000/$12000,0%,$20/$40/$60
CEC,HSA6000 1700/3420 ($1700 deductable),$753.00 ,"$1,505.00 ","$1,281.00 ","$1,934.00 ",$30 ,50,Ded + 50%,Ded + 50%,$75 ,$1700/$3400,"$3,420/$6,840",60%,$0/$75/$100
CEC,HSA6000 1700/3850 ($1700 deductable),$737.00 ,"$1,472.00 ","$1,253.00 ","$1,892.00 ",$30 ,50,Ded + 50%,Ded + 50%,$75 ,$1700/$3400,"$3,850/$7,700",50%,$0/$75/$100
CEC,HSA6000 6000/6000 ($6000 deductable),$675.00 ,"$1,349.00 ","$1,148.00 ","$1,734.00 ",$30 ,50,Ded + 50%,Ded + 50%,$75 ,"$6,000/$12000","$6,000/$12,000",100%,$0/$75/$100
CEC,"Simplicity 1000/1000 ($1,000 deductible)",$909.00 ,"$1,817.00 ","$1,546.00 ","$2,335.00 ",$0 ,$0 ,Ded + 50%,Ded + 50%,$0 ,$1000/$2000,$2000/$2000,50%,$0/$75/$100
CEC,"Simplicity 1000/3000 ($1,000 deductible)",$849.00 ,"$1,699.00 ","$1,447.00 ","$2,184.00 ",$0 ,$0 ,Ded + 50%,Ded + 50%,$0 ,"$1,000/$2,000","$3,000/$6,000",50%,$0/$75/$100
CEC,"Simplicity 1000/5000 ($1,000 deductible)",$713.00 ,"$1,426.00 ","$1,214.00 ","$1,833.00 ",$0 ,$0 ,Ded + 50%,Ded + 50%,$0 ,"$1,000/$2,000","$5,000/$10,000",50%,$0/$75/$100
CEC,Traditional 1500/1500 ($1500 deductable),$883.00 ,"$1,764.00 ","$1,501.00 ","$2,267.00 ",$30 ,$50 ,Ded + 50%,Ded + 50%,$75 ,"$1,500/$3000","$1,500/$3000",30%,$0/$75/$100
CEC,Traditional 2500/2500 ($2500 deductable,$824.00 ,"$1,647.00 ","$1,402.00 ","$2,117.00 ",$30 ,$50 ,Ded + 50%,Ded + 50%,$75 ,"$2,500/$5,000","$2,500/$5,000",30%,$0/$75/$100
CEC,"Traditional 5000/5000 ($5,000 deductible)",$595.00 ,"$1,190.00 ","$1,071.00 ","$1,725.00 ",$30 ,$50 ,Ded + 50%,Ded + 50%,$75 ,"$5,000/$10,000","$5,000/$10,000",30%,$0/$75/$100
PERACare,"Medical (Kaiser EDCP) ($4,000 deductible)",$843.00 ,"$1,679.00 ","$1,554.00 ","$2,426.00 ",$0 ,$0 ,Ded + 0%,$500 copay / 0%,$0 ,"$4,000/$8,000","$4,000/$8,000",20%,$0/$50/$125
PERACare,"Medical (Kaiser HDHP) ($3,500 deductible)",$521.00 ,"$1,034.00 ",$957.00 ,"$1,493.00 ",20%,20%,Ded + 20%,Ded + 10% / 20%,20%,"$3,500/$7,000","$6,050/$12,100",20%,$10/$50/50%
